Track_ID,Track_Name,Duration_Min,Artists,Release_Date,Year,Query
2y57H6nA3vic5t8awwaS69,Dark Light,3.44,Night Lovell,12/22/2014,2014,night
1jqz7G2qASrr8i17ndSRPU,Two Night Town,3.33,Jason Aldean,10/7/2014,2014,night
2GQEM9JuHu30sGFvRYeCxz,Faded,3.72,ZHU,9/11/2014,2014,night
6xNSaBtoPKlPhXsNT7ZwLd,The Nights - Felix Jaehn Remix,3.33,"Avicii, Felix Jaehn",1/1/2014,2014,night
5Z3trOR982mBrJcPfrLUsq,Cocaine Model,4.25,ZHU,9/11/2014,2014,night
3qpquGd66KoQQVHnYRKRkJ,Night and Day,3.12,Ella Fitzgerald,8/26/2014,2014,night
7fm0RfFil17f017qchrnyK,Deira City Centre,3.28,Night Lovell,12/22/2014,2014,night
00nSilwiplxpLe3Rx0VPQn,The Night Is Still Young,3.79,Nicki Minaj,12/15/2014,2014,night
3absRUCrN1eRMe9Wg04zgg,Desert Night,5.42,RÜFÜS DU SOL,5/7/2014,2014,night
5DOR49R0fehoBmyNL8m4sN,Hell Of A Night,4.54,ScHoolboy Q,1/1/2014,2014,night
5Bvz6Q8WriIBa1Ax83ywsi,Night Vision,3.67,Lindsey Stirling,5/5/2014,2014,night
6cIV1mZX0yyDozyZtyGJru,The Night Is Still Young,3.79,Nicki Minaj,12/15/2014,2014,night
5KMHXVgSPVFeZgznxLHslK,Hell Of A Night,3.17,Dustin Lynch,9/9/2014,2014,night
3M31S6f0z8S3nkFh3eS06W,Drink to That All Night,3.75,Jerrod Niemann,3/21/2014,2014,night
4GKk1uNzpxIptBuaY97Dkj,Midnight,4.91,Coldplay,5/16/2014,2014,night
7miPrGyudA7iuKcPyGKubZ,Night That You'll Never Forget,3.58,Love and Theft,3/4/2014,2014,night
1XjvdLemgyBYmD5FeUa53i,Nights (I Wish I Could Be There),3.1,Home,7/1/2014,2014,night
5PXhYXlPf6CCGrSeZEmJZH,All Night Longer REMIX (feat. B.o.B),3.96,"Sammy Adams, B.o.B",6/23/2014,2014,night
5kF9PbklFhT0rG5J5jlrJF,The Nights - Avicii By Avicii,4.4,Avicii,12/31/2014,2014,night
6CVj9gYL5v3S22OHPs70Xi,The Night Is Still Young,3.79,Nicki Minaj,12/12/2014,2014,night
