Track_ID,Track_Name,Duration_Min,Artists,Release_Date,Year,Query
1UNEuG9DYOWiikf00ayr52,Love Me Not,3.56,Ravyn Lenae,2024-05-03,2024,love
3ld1FzyNgpZwGn4h9cOXrq,Love Me Not (feat. Rex Orange County),3.14,"Ravyn Lenae, Rex Orange County",2024-10-08,2024,love
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,3.41,Morgan Wallen,2024-10-18,2024,love
4WFgvKVfEhb3IUAFGrutTR,Love Me Not,3.56,Ravyn Lenae,2024-08-09,2024,love
2nMJZxXtV5oTPbtIXMpzhX,love you tonight,2.89,Ella Langley,2024-08-02,2024,love
2ZZMbEXXq9hPReD2alSNxD,LOVE IS A DRUG,3.13,Don Toliver,2024-06-25,2024,love
3vxvz0JoRDvnx2jG9oPljA,Love You Anyway,3.95,The Marías,2024-05-31,2024,love
1eDI5oU04SLsXl0TfxfwYf,Love Me JeJe,2.97,Tems,2024-06-06,2024,love
4t43d4WVhoUU9FZTq8tZmL,Love Me Back,3.35,Max McNown,2024-09-06,2024,love
2zf1izCOz2F22PF27uhxRF,Love Takes Miles,3.31,Cameron Winter,2024-12-06,2024,love
7wei8Hb9DxoVKUOIIAhDEQ,Love Songs,2.97,Clairo,2024-10-09,2024,love
2jAPwqfgCw5hsUrg3wsqzA,Love Song,3.19,Lime Garden,2024-02-16,2024,love
6LZu7XhS7DwC1x1mrXuffu,Don't Want A Love Song,3.06,Bryant Barnes,2024-07-26,2024,love
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",2.62,Gracie Abrams,2024-06-21,2024,love
2voTL0BeyZoPJ29Jtz4VGa,worship or love,2.6,Them & I,2024-10-11,2024,love
7LqHM8vXewc8jxsM7VBVUj,love hate,1.93,xaviersobased,2024-06-06,2024,love
7IEbSjcSCiWIa22MsOsieC,"Love You, Miss You, Mean It",3.36,Luke Bryan,2024-06-14,2024,love
3Hp8GJDsH3E7fumfAACH2k,Love in Paradise,4.18,"Jorge Rivera-Herrans, Barbara Wangui, Teagan Earley, Kira Stone, Steven Rodriguez, Talya Sindel, Mason Olshavsky, KJ Burkhauser, Armando Julián, Steven Dookie",2024-08-30,2024,love
47hsUYxvbTlBAN3sP9dEOd,Love Me JeJe,2.97,Tems,2024-04-25,2024,love
4fY0yi1yHG5XyawNTDXh1f,Love Me Too,3.86,Gannon Fremin & CCREV,2024-08-16,2024,love
6UumSbVp1ae6IfcOWDo1oL,Love Me Not,2.34,Emei,2024-02-09,2024,love
7eCVm5KcpFrDhx6XHkF3t6,Love Me 4 Me,3.1,SZA,2024-12-20,2024,love
