Track_ID,Track_Name,Duration_Min,Artists,Release_Date,Year,Query
28sawWzfucjbahooUtyrZx,Love Me,4.55,JMSN,2023-07-19,2023,love
2kYevr8cbIAH2ha8210Bnz,Love You Anyway,3.82,Luke Combs,2023-03-24,2023,love
4xhsWYTOGcal8zt0J161CU,Lovin On Me,2.31,Jack Harlow,2023-11-10,2023,love
0eaVIYo2zeOaGJeqZ5TwYz,No Pole,3.13,Don Toliver,2023-02-28,2023,love
26QLJMK8G0M06sk7h7Fkse,love is embarrassing,2.58,Olivia Rodrigo,2023-09-08,2023,love
5mtTAScDytxMMqZj14NmlN,love.,5.13,wave to earth,2023-04-20,2023,love
7tlbZCr7a3BLXCSlwvWMCA,The Love I Lost,1.87,Fried By Fluoride,2023-04-28,2023,love
39fD0qvjgk8RarJnoBiDTx,Lovesick,3.76,Laufey,2023-09-08,2023,love
6gH4TId535zZLoBFSdnDFm,Love Me,4.55,JMSN,2023-10-08,2023,love
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,2.3,Mitski,2023-09-15,2023,love
3FNiFHLleiaWNq8TLxFws0,Love Song,2.04,hornja,2023-09-08,2023,love
3fGDYm9IW5OhqmJ7juHDM4,Love Song,3.52,Simon Sage,2023-02-03,2023,love
5iYQ3bdL5XsPPpu8iZskQJ,ラブソング,2.75,"Tatsuya Kitani, Eve",2023-06-14,2023,love
1uqwnyMsQ8hUjwKgPKd8M7,Another Love Song,2.85,Toosii,2023-06-02,2023,love
33LmQ3haOKfbw0FSdbS1dg,Tennessee Love Song,1.79,Anella,2023-09-29,2023,love
2hY9mOKGblxfNFl2GOQKj4,Love Me,4.55,JMSN,2023-10-09,2023,love
2IMPPA9UZpqTnnVIy9lDHU,Love Me Back,3.1,fromis_9,2023-10-11,2023,love
2N0SPREDYqILVEFSsWF5N5,Love Me Again,3.04,V,2023-08-11,2023,love
6Gpim0VEZc2UZRVcapsWIv,love me,2.98,Ex Habit,2023-03-28,2023,love
6P3CtlzTKLxcNYGOS3es8m,Love Me Like This,3.15,NMIXX,2023-03-20,2023,love
2247qD9kVEBW5bQsfXnPTm,Love Me Harder,3.6,Steven Rodriguez,2023-05-26,2023,love
1ocUQUnGLOGIW0n3ModD5K,Love Me Like You Do,3.23,Diego Dumas,2023-01-20,2023,love
1cm6DumMSwqKuxZdRjorAl,Love Me Tender,2.02,August Ken,2023-04-21,2023,love
04RKcQDS3m9bYXJWwJRCWi,Love Myself,1.69,Able Heart,2023-04-07,2023,love
1UbpSPm6AKEkfpb6cXtAHC,Love Myself,2.18,Moonlight Scorpio,2023-06-18,2023,love
1VLM75hY5fluRorkbIt6NT,Might Love Myself,3.67,Beartooth,2023-10-13,2023,love
6lYNvRhVDcYlbIxHfoQx8S,I love my horsey and my horsey loves me,1.67,Skainzz,2023-09-02,2023,love
1mC1BvGA6hXcFMJP6f1AIf,Love My Life,3.34,CallHimd.,2023-10-27,2023,love
6QFgaDuU9rihnISdYlkapj,I Love My Body,2.5,HWASA,2023-09-06,2023,love
0KRMMXOkWt1jruMvcvh0Bc,Love My Tone - Slowed,1.99,Fourfive,2023-09-07,2023,love
6ebl9EMy9X6q9JHiVmXyGP,Love Myself,2.0,Modern Headspace,2023-10-20,2023,love
2du460Jv1WAAUJWgg5wfFC,"love you, love you not",2.69,little purr man,2023-02-27,2023,love
3qXsX3mYSsD1DmAvc3PE3N,Love You Anyway,3.82,Luke Combs,2023-02-10,2023,love
0GLXQAdrh4tdvz0JLw8DX8,love you twice,2.87,HUH YUNJIN,2023-03-14,2023,love
7pvy3nhtBIQUakHS4OjFqB,Love You Again,2.89,Chase Matthew,2023-06-09,2023,love
