Track_ID,Track_Name,Duration_Min,Artists,Release_Date,Year,Query
3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),3.93,Taylor Swift,2021-02-12,2021,love
6FbFmJgyXcL3hmdGK41aSi,Love & War,2.92,Lil Poppa,2021-05-07,2021,love
4yMMsS5QaEcsHZkKwdEyLv,Love Potions,2.89,"BJ Lips, princess paparazzi",2021-08-02,2021,love
6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),3.93,Taylor Swift,2021-04-09,2021,love
2mOp5BSfbZrf4tunZ5mPit,Loverboy,3.74,A-Wall,2021-08-27,2021,love
4VCbgIdr8ptegWeJpqLVHH,Love All (with JAY-Z),3.81,"Drake, JAŸ-Z",2021-09-03,2021,love
2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),2.63,"Shouse, David Guetta",2021-06-11,2021,love
5ufE60D3rxtqP7xLrL4AEL,"Love Is an Open Door - From ""Frozen""/Soundtrack Version",2.12,"Kristen Bell, Santino Fontana",2021-05-28,2021,love
4lVVewXw4g8hB7sldQyJiL,The Love You Want,4.39,Sleep Token,2021-09-24,2021,love
2JUQ7mV1AHk2owXLydmN4Z,Love's Train,5.12,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-11-11,2021,love
0tziUvXJBqjdmV8gWxOjfV,Love Songs,2.48,Kaash Paige,2021-07-23,2021,love
2f3uLP1pGemFE8eX15CyNt,Love Song,2.53,Why Don't We,2021-01-15,2021,love
06RYQJ7vyC3qyKmH6I6cev,Love Songs,2.48,Kaash Paige,2021-07-27,2021,love
1YHB1xwXPgCkuGjQ0prNdb,"Morgen, Op. 27 No. 4 (Arr. Reger for Piano)",3.88,"Richard Strauss, Angela Hewitt",2021-07-02,2021,love
37NfmgIw3hLatdtt7c8PNm,Love Me Harder,3.93,"Ariana Grande, The Weeknd",2021-02-05,2021,love
0JfpIwZfcRwDzD6GRYzfKN,Love Me Like You Used To,3.68,Lord Huron,2021-05-21,2021,love
5knSvwiFenQOkDoriHi2Rg,Love Me Land,2.67,Zara Larsson,2021-03-04,2021,love
1In2SL7fMVQD06TeMuPJWA,Love Me Again,2.46,Yunggoth✰,2021-08-27,2021,love
4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),2.58,"Marshmello, Jonas Brothers",2021-05-21,2021,love
2PxUUGpUBoHcDUrPKNstTE,Love Me,2.43,YXNG K.A,2021-12-03,2021,love
0zUT6RbKCqHqorVnXVoZcm,LOVE ME OR LEAVE ME,2.44,Munn,2021-12-09,2021,love
0TmrhQAcZXeOwsLLZfNSy6,Love Me Harder,3.93,"Ariana Grande, The Weeknd",2021-02-05,2021,love
1lhm29o3syw122xynSKaAK,Love Me Like That,3.52,Sam Kim,2021-07-24,2021,love
1dKmaDRG1KvqwANvlhIyqx,Love Me Land,2.67,Zara Larsson,2021-03-05,2021,love
0clSHsrHl2irBkObcLEZqS,I Love My Country,3.09,Florida Georgia Line,2021-02-12,2021,love
5uNhj4KHA7nZO1CMwbnnqG,I Love My Squad,3.35,Iamsu!,2021-05-11,2021,love
4o4MwnE4OK3JNG4lCYFnwm,Love Myself,3.12,Andy Grammer,2021-12-10,2021,love
28mUleyDP9pDh8dWcF6IRv,Love Myself,3.29,"MadeinTYO, UnoTheActivist",2021-12-10,2021,love
3Je7nQJy7f9TZ42ZsaWpq8,Love Myself,3.11,TITUS,2021-05-21,2021,love
2nZ53WVFDAFvG81SaiuvVm,I Love My Hair,2.72,Gracie's Corner,2021-01-11,2021,love
32XaqPVTVkkuOiOPQZ3SpA,midnight love,3.23,girl in red,2021-04-30,2021,love
2DuPBbS5mIldXnh7Wum8Cy,My Little Love,6.49,Adele,2021-11-19,2021,love
4uk8dei7H7reKhJ5vOeK6A,I'll Love Myself,3.14,VICTORS,2021-10-29,2021,love
2Q3jFbyE61mCjS3SkW4toJ,Race My Mind,4.5,Drake,2021-09-03,2021,love
5yfMsbJda8sXVfnJHgm8Ke,I Love You,2.06,Young Slo-Be,2021-08-13,2021,love
4bpyaPa1xruVgE2GtsYbIW,Love You From a Distance,3.4,Ashley Kutcher,2021-11-19,2021,love
27UcQ6dAvQrgH9C880rCM3,Love You Different (feat. BEAM),3.11,"Justin Bieber, BEAM",2021-03-19,2021,love
5cjagrNaegv6IQZKflkPTf,I Love You So - Acoustic,2.46,The Walters,2021-11-19,2021,love
4pUxYUHVKXWsgGhEhOu7R9,"Love You More (with Nate Ruess, Gunna & Jeff Bhasker)",3.7,"Young Thug, Gunna, Jeff Bhasker, Nate Ruess",2021-10-15,2021,love
7IYoh1u7dFM1xIWSEYd5B8,If I Didn’t Love You,3.55,"Jason Aldean, Carrie Underwood",2021-11-12,2021,love
4ZYiV1lD5mJEMIdfIaVsBW,Love You Like That,2.92,Cloonee,2021-09-17,2021,love
0qMAHhmwXEPXMkNxunCWr3,Love You Better,3.94,The Haunt,2021-03-19,2021,love
2ZXxRC6V6AXzMdbLQZMHSB,LOT OF ME,2.06,Lil Tecca,2021-08-27,2021,love
0IkV2YqLBVsLrsm4ycVn2w,Love Is a Song,2.91,"Disney Peaceful Piano, Disney",2021-10-01,2021,love
